Tag_Option,Account_Category,Account_Name,Account_Code,Total
8025090 - هاكاثون الوعي المعرفي,Cost of Goods Sold,Cleaning - 530103 - نظافة,530103,0.0
8025100 - مشروع منظومة عمل إدارة دراسات الحالة,Cost of Goods Sold,Cleaning - 530103 - نظافة,530103,0.0
8025110 - مشروع خارطة الاستثمار الاجتماعي في قطاع الشباب,Cost of Goods Sold,Cleaning - 530103 - نظافة,530103,0.0
8025120 - مشروع تقديم خدمات استشارية لأكاديمية الفوزان,Cost of Goods Sold,Cleaning - 530103 - نظافة,530103,0.0
8026010 - تأسيس وحدة الاستثمار الاجتماعي مع جمعية متلازمة النجاح,Cost of Goods Sold,Cleaning - 530103 - نظافة,530103,0.0
8026020 - التأهيل للتوظيف,Cost of Goods Sold,Cleaning - 530103 - نظافة,530103,0.0
8026030 - حاضنة أثر الطاقة الاجتماعية,Cost of Goods Sold,Cleaning - 530103 - نظافة,530103,0.0
Untagged,Cost of Goods Sold,Cleaning - 530103 - نظافة,530103,0.0
Overall,Cost of Goods Sold,Co-operators fees - 520103 - اتعاب متعاوني مشاريع,520103,1034848.18
8000010 - تسوية مراكز التكلفة تكامل,Cost of Goods Sold,Co-operators fees - 520103 - اتعاب متعاوني مشاريع,520103,98110.0
8000011 - المصاريف العمومية والادارية تكامل,Cost of Goods Sold,Co-operators fees - 520103 - اتعاب متعاوني مشاريع,520103,0.0
8000020 - مصاريف بيعية وتسويقية تكامل,Cost of Goods Sold,Co-operators fees - 520103 - اتعاب متعاوني مشاريع,520103,0.0
8000030 - تدريب وتطوير تكامل,Cost of Goods Sold,Co-operators fees - 520103 - اتعاب متعاوني مشاريع,520103,0.0
8000040 - مكتب ادارة المشاريع تكامل,Cost of Goods Sold,Co-operators fees - 520103 - اتعاب متعاوني مشاريع,520103,0.0
8000050 - الاتصال المؤسسي تكامل,Cost of Goods Sold,Co-operators fees - 520103 - اتعاب متعاوني مشاريع,520103,0.0
